时间,推力/kN,环境总压,环境总温/K,高压压缩机1st-4th stage出口压力,高压压缩机1st-4th stage出口温度,高压压缩机1st-4th stage压比,高压压缩机5th-6th stage出口压力,高压压缩机5th-6th stage出口温度,高压压缩机5th-6th stage压比,燃烧室燃油流量/g/s,高速轴转速/rev/min,高速轴转矩,低速轴转速rev/min,低速轴转矩,高压涡轮出口压力,高压涡轮出口温度,高压涡轮质量流率,高压涡轮机械功率,高压涡轮转速,低压涡轮出口压力,低压涡轮出口温度,低压涡轮质量流率,低压涡轮机械功率,低压涡轮转速,喷嘴喉道静压,喷嘴喉道静温,喷嘴喉道速度
52.6499999999992,96.0507997883244,1.01325,288.15,20.0390455056831,792.636849993159,4.68435596076333,38.248628977209,965.66977559308,1.90870513100845,3700.0,19949.5720078628,12733.3973596827,34730.4858788715,4626.35483405975,14.5857184711637,2232.40467618565,51347.0298603308,-26601522.4531907,-19949.5720078628,4.79318222363035,1957.71668759079,54520.6075074666,-16825904.3790415,-34730.4858788715,2.5067447788971,1638.1279779718,772.858711641067
52.6999999999992,96.0508028644475,1.01325,288.15,20.0390463283874,792.636848135157,4.68435597597452,38.2486287923784,965.669757858077,1.90870504342291,3700.0,19949.5717132582,12733.3969329064,34730.5022344355,4626.3498665488,14.585719095673,2232.40467671968,51347.0297956287,-26601521.1687693,-19949.5717132582,4.79318234818116,1957.71681599024,54520.6074574057,-16825894.236147,-34730.5022344355,2.50674484503569,1638.12806148845,772.858730619028
52.7499999999992,96.0508056986028,1.01325,288.15,20.0390470852943,792.636846162927,4.68435598342787,38.2486285589478,965.669740560274,1.90870495967928,3700.0,19949.5714312591,12733.3965325064,34730.5181488259,4626.34505845169,14.5857196830909,2232.40468604531,51347.0295650854,-26601519.9562595,-19949.5714312591,4.79318246362228,1957.71694849978,54520.6072351734,-16825884.4592839,-34730.5181488259,2.50674490650914,1638.12814363418,772.858749597445
52.7999999999992,96.0508087381948,1.01325,288.15,20.0390478935003,792.636844607813,4.68435600298959,38.2486284253388,965.669723957288,1.9087048760308,3700.0,19949.5711511002,12733.3961302792,34730.5336488532,4626.34034450978,14.5857202917381,2232.40468355956,51347.0295942811,-26601518.7423863,-19949.5711511002,4.79318258639831,1957.71706762018,54520.6072838796,-16825874.8240984,-34730.5336488532,2.50674497163295,1638.12822289951,772.858767487462
52.8499999999992,96.0508115660468,1.01325,288.15,20.0390486550521,792.636842918346,4.68435601676347,38.2486282529363,965.669707559058,1.90870479489021,3700.0,19949.5708786485,12733.3957420487,34730.5487043133,4626.33577626141,14.5857208662162,2232.40468532609,51347.0295190196,-26601517.5680309,-19949.5708786485,4.79318270098209,1957.71718690328,54520.6072223285,-16825865.5034025,-34730.5487043133,2.50674503250236,1638.12829999727,772.858785050554
52.8999999999992,96.0508142882098,1.01325,288.15,20.0390493863895,792.636841223657,4.68435602882888,38.2486280753829,965.669691602132,1.9087047163705,3700.0,19949.5706145961,12733.3953681112,34730.56335132,4626.33133758345,14.5857214215985,2232.40468895929,51347.0294122176,-26601516.4347355,-19949.5706145961,4.79318281142625,1957.71730458716,54520.6071282046,-16825856.4560539,-34730.56335132,2.50674509120739,1638.12837523786,772.858802254433
52.9499999999992,96.0508169181104,1.01325,288.15,20.0390500845931,792.636839586314,4.68435603971585,38.2486278995032,965.669676279877,1.90870464109027,3700.0,19949.5703615665,12733.3950050209,34730.5775743457,4626.32702900659,14.5857219591844,2232.40469311531,51347.0292959238,-26601515.338799,-19949.5703615665,4.79318291817295,1957.71741940309,54520.6070233601,-16825847.6764613,-34730.5775743457,2.50674514795995,1638.12844839089,772.858819000443
52.9999999999991,96.0508195764769,1.01325,288.15,20.0390508072556,792.636838095634,4.68435605520171,38.248627759811,965.669661096494,1.90870456528621,3700.0,19949.5701073554,12733.3946460332,34730.5914168003,4626.32282240918,14.5857224948489,2232.40469224124,51347.02927996,-26601514.249858,-19949.5701073554,4.79318302569279,1957.71752696992,54520.6070219889,-16825839.0833787,-34730.5914168003,2.50674520502749,1638.12851904691,772.858835012694
53.0499999999991,96.0508221567868,1.01325,288.15,20.0390515017385,792.636836643921,4.68435606981138,38.2486276225541,965.669646452976,1.90870449228776,3700.0,19949.5698624556,12733.3943027503,34730.6048713913,4626.31873977382,14.5857230152946,2232.40469324689,51347.0292430249,-26601513.2061422,-19949.5698624556,4.79318313016346,1957.7176330797,54520.6069997866,-16825830.7532245,-34730.6048713913,2.50674526050896,1638.12858813313,772.858850724276
53.0999999999991,96.050824548239,1.01325,288.15,20.0390521442777,792.636835115477,4.68435607860808,38.2486274503081,965.669632218176,1.90870442249088,3700.0,19949.5696280315,12733.3939629777,34730.6179713753,4626.31476811672,14.5857235061049,2232.40469641662,51347.0291283569,-26601512.1837284,-19949.5696280315,4.79318322722208,1957.71773827184,54520.606894145,-16825822.6548893,-34730.6179713753,2.50674531210316,1638.12865518677,772.858866058953
